Origin URL,ID and Name,Name,Type,Grade,HP,Attack,Defense,Speed,Move
https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(01-028),Farfetch'd (01-028),Farfetch'd,Normal/Flying,Grade 1,58,36,31,33,Aerial Ace
https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(01-025),Dunsparce (01-025),Dunsparce,Normal,Grade 1,82,38,38,26,Headbutt
https://bulbapedia.bulbagarden.net/wiki/Greninja_(01-023),Greninja (01-023),Greninja,Water/Dark,Grade 3,97,73,53,92,Night Slash
https://bulbapedia.bulbagarden.net/wiki/Frogadier_(01-022),Frogadier (01-022),Frogadier,Water,Grade 2,72,28,36,63,Water Pulse
https://bulbapedia.bulbagarden.net/wiki/Fennekin_(01-017),Fennekin (01-017),Fennekin,Fire,Grade 1,53,28,24,33,Ember
https://bulbapedia.bulbagarden.net/wiki/Quilladin_(01-014),Quilladin (01-014),Quilladin,Grass,Grade 2,76,51,62,39,Needle Arm
https://bulbapedia.bulbagarden.net/wiki/Charizard_(01-008),Charizard (01-008),Charizard,Fire/Flying,Grade 4,117,28,70,89,Flamethrower
https://bulbapedia.bulbagarden.net/wiki/Blastoise_(01-012),Blastoise (01-012),Blastoise,Water,Grade 4,118,28,89,70,Hydro Pump
https://bulbapedia.bulbagarden.net/wiki/Venusaur_(01-003),Venusaur (01-003),Venusaur,Grass/Poison,Grade 3,103,28,64,62,Giga Drain
https://bulbapedia.bulbagarden.net/wiki/Stunfisk_(01-027),Stunfisk (01-027),Stunfisk,Ground/Electric,Grade 1,86,28,45,20,Mud-Slap
https://bulbapedia.bulbagarden.net/wiki/Dedenne_(01-029),Dedenne (01-029),Dedenne,Electric/Fairy,Grade 1,66,32,32,53,Nuzzle
https://bulbapedia.bulbagarden.net/wiki/Greninja_(01-024),Greninja (01-024),Greninja,Water/Dark,Grade 4,112,84,61,107,Water Shuriken
https://bulbapedia.bulbagarden.net/wiki/Froakie_(01-021),Froakie (01-021),Froakie,Water,Grade 1,53,28,24,39,Bubble
https://bulbapedia.bulbagarden.net/wiki/Pachirisu_(01-026),Pachirisu (01-026),Pachirisu,Electric,Grade 1,62,26,38,50,Spark
https://bulbapedia.bulbagarden.net/wiki/Delphox_(01-019),Delphox (01-019),Delphox,Fire/Psychic,Grade 3,100,28,56,79,Flamethrower
https://bulbapedia.bulbagarden.net/wiki/Braixen_(01-018),Braixen (01-018),Braixen,Fire,Grade 2,75,40,39,48,Flame Charge
https://bulbapedia.bulbagarden.net/wiki/Delphox_(01-020),Delphox (01-020),Delphox,Fire/Psychic,Grade 4,115,28,65,92,Psychic
https://bulbapedia.bulbagarden.net/wiki/Chesnaught_(01-016),Chesnaught (01-016),Chesnaught,Grass/Fighting,Grade 4,125,94,107,58,Hammer Arm
https://bulbapedia.bulbagarden.net/wiki/Chesnaught_(01-015),Chesnaught (01-015),Chesnaught,Grass/Fighting,Grade 3,109,82,92,51,Seed Bomb
https://bulbapedia.bulbagarden.net/wiki/Chespin_(01-013),Chespin (01-013),Chespin,Grass,Grade 1,60,34,36,23,Vine Whip
https://bulbapedia.bulbagarden.net/wiki/Wartortle_(01-010),Wartortle (01-010),Wartortle,Water,Grade 2,75,28,53,39,Water Pulse
https://bulbapedia.bulbagarden.net/wiki/Blastoise_(01-011),Blastoise (01-011),Blastoise,Water,Grade 3,102,64,77,61,Aqua Tail
https://bulbapedia.bulbagarden.net/wiki/Venusaur_(01-004),Venusaur (01-004),Venusaur,Grass/Poison,Grade 4,119,28,74,72,Leaf Storm
https://bulbapedia.bulbagarden.net/wiki/Charmander_(01-005),Charmander (01-005),Charmander,Fire,Grade 1,52,28,25,36,Ember
https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(01-006),Charmeleon (01-006),Charmeleon,Fire,Grade 2,74,43,39,53,Fire Fang
https://bulbapedia.bulbagarden.net/wiki/Charizard_(01-007),Charizard (01-007),Charizard,Fire/Flying,Grade 3,102,28,61,77,Flame Burst
https://bulbapedia.bulbagarden.net/wiki/Squirtle_(01-009),Squirtle (01-009),Squirtle,Water,Grade 1,55,28,36,25,Water Gun
https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(01-001),Bulbasaur (01-001),Bulbasaur,Grass/Poison,Grade 1,55,28,28,26,Vine Whip
https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(01-002),Ivysaur (01-002),Ivysaur,Grass/Poison,Grade 2,76,42,42,41,Razor Leaf
